canonical_model,AutoGluon,auto-sklearn,FLAML,H2O,TPOT
adaboost,-,77.5% (210),-,-,-
decision_tree,-,69.3% (198),-,-,75.0% (52)
extra_trees,94.4% (1674),100.0% (474),91.8% (810),-,94.4% (426)
gaussian_process,-,100.0% (49),-,-,-
gradient_boosting,-,54.4% (1346),-,34.8% (32600),85.7% (134)
k_nearest_neighbors,-,100.0% (384),-,-,100.0% (36)
lightgbm,78.9% (1672),-,81.5% (540),-,-
linear_discriminant_analysis,-,87.4% (20),-,-,-
logistic_regression,-,-,100.0% (270),-,100.0% (8)
naive_bayes,-,83.6% (356),-,-,87.0% (46)
neural_network,-,80.6% (167),-,18.6% (2700),50.0% (28)
passive_aggressive,-,100.0% (84),-,-,-
quadratic_discriminant_analysis,-,100.0% (145),-,-,-
random_forest,79.2% (2232),86.9% (780),75.5% (1080),22.6% (2096),79.2% (452)
sgd,-,100.0% (740),100.0% (401),-,100.0% (6)
svm,-,89.4% (1197),-,-,66.7% (6)
xgboost,66.7% (837),-,72.5% (1620),30.3% (54430),-
